Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-10-26,387.06591796875,388.94188161752703,379.3982072489235,387.39376361530316,3507024
2010-10-27,381.8203430175781,388.5956683353574,380.12655615381806,386.1186629002892,2141382
2010-10-28,383.5325012207031,388.8689627803812,378.8334998771645,382.4761296836757,5255690
2010-10-29,383.5325012207031,386.1187594901869,375.55513305130444,386.1187594901869,2212398
2010-11-01,384.4447021484375,389.18913067710554,382.8753733534512,383.952020403597,1147948
2010-11-02,383.0032958984375,386.85360192641843,380.9047975861008,385.0288207852561,1565778
2010-11-03,384.2259826660156,393.7878192142002,382.62016615211115,383.5325568361107,2217878
2010-11-04,390.1929016113281,393.64171962904277,387.40097797539454,387.5834560620528,1717440
2010-11-08,389.8280334472656,395.0286600911407,387.6200302800873,394.15275616737057,2248586
2010-11-09,398.2037048339844,400.97736307125354,389.95570354276896,391.92647595225316,3504086
2010-11-10,398.6417541503906,404.37154980676394,396.37899853138447,398.6234885166407,1540224
2010-11-11,388.5871887207031,397.802334543852,386.21497296424894,397.802334543852,1926096
2010-11-12,385.3573303222656,390.46671804815895,382.547140342829,386.853642103355,1802330
2010-11-15,389.04327392578125,394.0979079274185,384.2988437559547,388.6783177588715,1389396
2010-11-16,382.80267333984375,389.1894086125304,380.3574393909601,389.0434171819459,2178076
2010-11-18,380.5764465332031,391.2331526471159,379.5545510755602,391.2331526471159,2765160
2010-11-19,370.5765075683594,382.8390260907554,367.14591062659673,381.3427146891194,2172652
2010-11-22,379.2259826660156,380.649320771678,369.1532003456877,370.7955032636863,2221236
2010-11-23,375.9231262207031,381.37920322178866,369.481640816033,377.3646852931382,1684448
2010-11-24,366.6897888183594,377.54723715610135,364.57304704284036,374.08015281295684,3008608
2010-11-25,372.9122009277344,380.2478331303635,367.5473409049534,368.6239660351453,5855006
2010-11-26,382.2004089355469,384.6638634691491,374.0801328803395,374.0801328803395,3617826
2010-11-29,390.9775695800781,393.60523622991565,383.2952242470736,385.0287660848966,4518892
2010-11-30,392.6928405761719,396.36066792026634,384.3353353378616,387.0360199173144,4808408
2010-12-01,394.8461608886719,398.97013962789214,388.31343535006783,388.31343535006783,3776032
2010-12-02,399.9190979003906,401.1599135763125,392.3462553089821,398.167289986826,4095716
2010-12-03,400.48480224609375,406.19637747009256,398.2220909194926,398.9155168261385,2030112
2010-12-06,402.0721740722656,405.1013279482192,399.7364903441647,401.4517664351722,1930954
2010-12-07,396.88983154296875,401.45178362966954,394.9190593314513,401.45178362966954,2158324
2010-12-08,393.842529296875,398.8788986018375,390.95936613480137,398.14898613297436,1984132
2010-12-09,391.4521179199219,400.46656524745384,389.8098145722294,395.5031239341641,2579902
2010-12-10,392.2914733886719,395.5578139340499,385.75874774759325,389.4083101671542,2245624
2010-12-13,392.7294616699219,394.40825172339845,382.6201900791571,390.8681934682342,2115066
2010-12-14,394.49932861328125,397.656208189562,388.3680920842225,391.670918478808,2615340
2010-12-15,402.7839660644531,404.5175082168414,394.70017638062,396.0140099439445,2572034
2010-12-16,416.3056945800781,417.5100683666548,402.9665665910479,404.73659599529736,4515704
2010-12-20,425.7944641113281,429.55353152766503,406.87149034534457,414.15239469149344,4514046
2010-12-21,423.6412658691406,427.8199974375015,421.1595453554078,426.63388953247113,2810642
2010-12-22,419.6084899902344,426.63389849844225,415.22901455654636,425.9039859261609,3186836
2010-12-23,416.0502624511719,423.18517731597416,413.1670982135917,419.6998261568839,2850924
2010-12-24,416.4514465332031,419.26163556898325,410.8493786392567,413.8602668238216,1624640
2010-12-27,416.48797607421875,423.14842637966194,415.3931075308582,417.87482738260144,1664936
2010-12-28,418.36737060546875,420.02793849912285,416.0681741569096,416.48783798580433,1012876
2010-12-29,422.236083984375,424.0791307289274,418.6230530203141,419.3346998343697,1042370
2010-12-30,427.07171630859375,428.75055042516885,420.61200955678527,420.61200955678527,3845552
2010-12-31,425.41107177734375,430.64818271641917,424.0059997522704,427.9110120635606,1532980
2011-01-03,422.6375427246094,429.5351792234643,421.3601960321819,425.9038828751186,1405042
2011-01-04,417.78363037109375,425.5937023429104,415.3566626124011,424.77255085277284,2502868
2011-01-05,422.966064453125,425.50253733871995,416.68883423399626,417.96618121872933,3069674
2011-01-06,427.619140625,431.3782071196885,420.8309645499309,426.2688205717396,2846720
2011-01-07,417.0172119140625,433.14825817547995,415.37490900983283,429.18849230534533,2532724
2011-01-10,412.7290954589844,419.33479568901504,409.1160191186996,418.787361229891,3952426
2011-01-11,400.9043884277344,414.426033549862,396.9993748812918,409.84581538857145,3768730
2011-01-12,414.5718994140625,420.2834717773705,404.37139336720645,405.06481892654415,3160874
2011-01-13,410.3020324707031,421.8711268847946,407.3641170642827,412.0173088935035,5589198
2011-01-14,408.8057861328125,419.6997221855637,408.7510337807229,412.3641098643858,3151692
2011-01-17,415.1012268066406,418.44058523644605,408.75097946559305,409.18890912346336,3000212
2011-01-18,438.8780517578125,441.19551448344436,424.93669959714816,428.4585354811401,8481370
2011-01-19,435.39276123046875,441.2320606266863,432.47311153236,439.20653582849576,2952040
2011-01-20,442.4000244140625,444.7905060822679,430.64844896580604,430.64844896580604,4545208
2011-01-21,442.19927978515625,445.2466557732108,439.40735536962774,441.5970930209714,2597404
